date,cvar_historical,mv_historical,cvar_mbb,mv_mbb,ew
2023-10-06,"[0.34999999996952574, 0.29048088901114466, 1.4360148034584823e-11, 0.009519111024304895, 0.3499999999806649]","[0.3478310655048478, 0.30217102511595306, 8.747646147086167e-07, 1.0848271164176955e-06, 0.34999594978746806]","[0.34999999998287085, 0.29999999966764973, 1.6196240243109093e-11, 3.7509698366176543e-10, 0.3499999999581865]","[0.34999835500388676, 0.30000521141993153, 8.355923446126354e-07, 7.907324371761492e-07, 0.3499948072514001]",[0.2 0.2 0.2 0.2 0.2]
2023-10-13,"[0.34999999999955833, 0.290480893307196, 1.4635568859011495e-13, 0.009519106693800829, 0.34999999999929865]","[0.3437841431338991, 0.306216658886351, 2.8920392872530344e-07, 5.68246338886882e-07, 0.3499983405294822]","[0.34999999997134473, 0.17256852528929148, 1.430189587590678e-11, 0.12743147474527783, 0.34999999997978437]","[0.28714616561925327, 0.34999806304467623, 2.1061218439758567e-06, 0.012853845085330901, 0.34999982012889574]",[0.2 0.2 0.2 0.2 0.2]
2023-10-20,"[0.3499999999996568, 0.26171651182066996, 2.6723922154394164e-13, 0.038283488179984025, 0.34999999999942183]","[0.3335254793028507, 0.31647456193649787, 2.1122755490332677e-07, 1.4280411040372824e-07, 0.3499996047289864]","[0.34999999999804776, 0.23803114105040918, 1.0507253392167403e-12, 0.06196885895494922, 0.34999999999554304]","[0.34999975565445524, 0.3499895305264084, 0.0010827068931052318, 1.5055681494515236e-06, 0.2989265013578817]",[0.2 0.2 0.2 0.2 0.2]
2023-10-27,"[0.34999999999914816, 0.23803113914528234, 6.829291169072873e-12, 0.06196886085097278, 0.34999999999776754]","[0.30308595378288367, 0.3469131015677876, 4.893699194979464e-07, 1.0470237130336112e-06, 0.34999940825569653]","[0.34999999999951514, 0.2904808932643508, 2.7929056224465826e-13, 0.009519106737354682, 0.34999999999850023]","[0.34322721140912205, 0.3067733198996857, 1.2109657107123673e-06, 1.6591468786753293e-06, 0.34999659857860277]",[0.2 0.2 0.2 0.2 0.2]
2023-11-03,"[0.34999999999763215, 0.11118550917685642, 7.403764189414595e-13, 0.18881449082557245, 0.3499999999991985]","[0.2243328891648636, 0.34999890574238923, 3.3347102722707363e-06, 0.07566494045354619, 0.34999992992892875]","[0.34999999999408576, 0.167577850411597, 1.7829186439659887e-12, 0.1324221495958936, 0.34999999999664083]","[0.24846596730220122, 0.34999918163595856, 3.495405009180322e-07, 0.05153455585409463, 0.3499999456672448]",[0.2 0.2 0.2 0.2 0.2]
2023-11-10,"[0.349999999997922, 0.2617165082558497, 8.469542078615836e-13, 0.0382834917467385, 0.34999999999864306]","[0.31790610670021713, 0.33209748256037636, 1.4756617742901305e-06, 7.769662126603023e-07, 0.34999415811141954]","[0.34999999999011466, 0.16757784973244816, 5.805067319447868e-12, 0.1324221502754473, 0.349999999996185]","[0.26523012276659613, 0.34999941886138186, 0.003910865915419097, 0.03086028101873942, 0.3499993114378635]",[0.2 0.2 0.2 0.2 0.2]
2023-11-17,"[0.349999999967076, 0.2999999911201384, 7.489115882973067e-12, 8.928103278193587e-09, 0.3499999999771934]","[0.3499902227724552, 0.3000263909186594, 2.1889051624740282e-06, 1.6624900144228496e-06, 0.3499795349137087]","[0.3499999999935126, 0.2904808931758529, 1.9480741007340276e-12, 0.009519106832890735, 0.34999999999579573]","[0.345965838361962, 0.3040329626739869, 1.3447291493994463e-06, 1.1362333851749114e-06, 0.3499987180015166]",[0.2 0.2 0.2 0.2 0.2]
2023-11-24,"[0.3499999999994144, 0.261716508377938, 9.578365473312184e-13, 0.03828349162245856, 0.3499999999992313]","[0.3218635714489518, 0.3281363043087007, 1.914794435817692e-07, 2.564028699153392e-07, 0.34999967636003404]","[0.34999999999938436, 0.15916815098071704, 2.67958930055553e-13, 0.14083184902022433, 0.34999999999940656]","[0.24953040753912226, 0.3499988109877691, 1.0486973111584937e-06, 0.05047010023621622, 0.3499996325395813]",[0.2 0.2 0.2 0.2 0.2]
2023-12-01,"[0.3499999999311098, 0.29048089375352115, 8.352947378829874e-12, 0.009519106316489553, 0.3499999999905268]","[0.3437050071718619, 0.30629485747694124, 3.572062548904679e-07, 5.223848227070119e-07, 0.3499992557601193]","[0.3499999999959686, 0.2617165082272694, 2.245004337618661e-12, 0.038283491775499924, 0.3499999999990172]","[0.32464031425799744, 0.3253596635955352, 2.6551408705334127e-07, 1.5194488772153148e-07, 0.34999960468749286]",[0.2 0.2 0.2 0.2 0.2]
2023-12-08,"[0.3499999999873915, 0.29048089337774197, 2.7370380350565807e-12, 0.009519106635939049, 0.34999999999619075]","[0.3462943096232555, 0.30370491954453177, 1.1199828716319015e-06, 1.0638984103970213e-06, 0.34999858695093067]","[0.349999999999361, 0.2904808932463255, 4.534853694626469e-13, 0.009519106754348179, 0.3499999999995119]","[0.34349011422213377, 0.3065091524163421, 4.042072811065575e-07, 1.601372963329288e-06, 0.3499987277812798]",[0.2 0.2 0.2 0.2 0.2]
